cost(per GB),cloudlet-0,cloudlet-1,cloudlet-2,cloudlet-3,cloudlet-4,cloudlet-5,cloudlet-6,cloudlet-7,cloudlet-8,cloudlet-9,cloudlet-10,cloudlet-11,cloudlet-12,cloudlet-13,cloudlet-14,cloudlet-15,cloudlet-16,cloudlet-17,cloudlet-18,cloudlet-19,cloudlet-20,cloudlet-21,cloudlet-22,cloudlet-23,cloudlet-24,cloudlet-25,cloudlet-26,cloudlet-27,cloudlet-28,cloudlet-29,cloudlet-30,cloudlet-31,cloudlet-32,cloudlet-33,cloudlet-34,cloudlet-35,cloudlet-36,cloudlet-37,cloudlet-38,cloudlet-39,cloudlet-40,cloudlet-41,cloudlet-42,cloudlet-43,cloudlet-44,cloudlet-45,cloudlet-46,cloudlet-47,cloudlet-48,cloudlet-49,cloudlet-50,cloudlet-51,cloudlet-52,cloudlet-53,cloudlet-54,cloudlet-55,cloudlet-56,cloudlet-57,cloudlet-58,cloudlet-59,cloudlet-60,cloudlet-61,cloudlet-62,cloudlet-63,cloudlet-64,cloudlet-65,cloudlet-66,cloudlet-67,cloudlet-68,cloudlet-69,cloudlet-70,cloudlet-71,cloudlet-72,cloudlet-73,cloudlet-74,cloudlet-75,cloudlet-76,cloudlet-77,cloudlet-78,cloudlet-79,cloudlet-80,cloudlet-81,cloudlet-82,cloudlet-83,cloudlet-84,cloudlet-85,cloudlet-86,cloudlet-87,cloudlet-88,cloudlet-89,cloudlet-90,cloudlet-91,cloudlet-92,cloudlet-93,cloudlet-94,cloudlet-95,cloudlet-96,cloudlet-97,cloudlet-98,cloudlet-99,cloudlet-100,cloudlet-101,cloudlet-102,cloudlet-103,cloudlet-104,cloudlet-105,cloudlet-106,cloudlet-107,cloudlet-108,cloudlet-109,cloudlet-110,cloudlet-111,cloudlet-112,cloudlet-113
cloudlet-0,0,0.017443493,0.012508302,0.016027657,0.029359782,0.01670742,0.023239804,0.011918324,0.018143236,0.028714378,0.026183493,0.029511523,0.018553993,0.019609997,0.020598983,0.0121857,0.01788977,0.024534016,0.017178785,0.014172187,0.012300956,0.020880907,0.025015564,0.026463761,0.026392469,0.013862344,0.029225438,0.020618034,0.023174503,0.026150436,0.019144923,0.019234195,0.012612767,0.012135582,0.017298162,0.025139628,0.017002501,0.014567444,0.020347037,0.012617081,0.029480106,0.017427468,0.010516372,0.022092705,0.011926219,0.023283518,0.01270291,0.027265496,0.018990518,0.020236688,0.014371698,0.010952545,0.021415358,0.025977424,0.021898706,0.018224882,0.029481437,0.029514869,0.028877885,0.014169993,0.015564706,0.023720838,0.014552359,0.02139735,0.022439086,0.017174743,0.024186748,0.011535863,0.016479055,0.018787406,0.019032316,0.019987669,0.022187193,0.01188864,0.026059782,0.027000895,0.02015095,0.022941016,0.013378812,0.021895848,0.012602939,0.014878358,0.029704414,0.014178005,0.023325905,0.015680777,0.026959869,0.017835876,0.01498283,0.029983616,0.011251699,0.016447165,0.023807017,0.029244725,0.015351808,0.01537648,0.014712687,0.0219528,0.010943548,0.026065902,0.01085034,0.010256492,0.012002722,0.02549257,0.025857111,0.025001529,0.010287236,0.013335154,0.023119084,0.035992351,0.054330023,0.055631977,0.049663021,0.078909995
cloudlet-1,0.017443493,0,0.029593227,0.019749399,0.029191814,0.016020974,0.01120295,0.012370797,0.017467353,0.012830477,0.023777616,0.017581709,0.017764583,0.010116115,0.012843816,0.011381902,0.023104511,0.010595615,0.017406458,0.027723295,0.029413025,0.022059466,0.028864542,0.018842569,0.028385873,0.022182338,0.019746133,0.015491716,0.017296611,0.025674616,0.01144395,0.013190471,0.01726893,0.022765006,0.013750057,0.02300243,0.021553455,0.018308366,0.026505621,0.014374392,0.013890576,0.023817026,0.02384404,0.01642499,0.017190625,0.02643385,0.020938297,0.022054333,0.01247897,0.019427525,0.023169383,0.027430193,0.018839767,0.023604586,0.027239599,0.029872569,0.011918229,0.028713116,0.029011783,0.016063845,0.021016119,0.012951455,0.02238061,0.016882028,0.029608051,0.022882105,0.020257707,0.023431442,0.018618851,0.028647261,0.018173511,0.025183403,0.029090696,0.02604195,0.015169309,0.013453356,0.025815187,0.019441544,0.0149325,0.025201605,0.010240269,0.018007035,0.015929396,0.017926876,0.021535024,0.021866557,0.013124736,0.011200354,0.018998923,0.024537895,0.022654254,0.012584876,0.025941659,0.020408969,0.023387963,0.023965971,0.015076525,0.014999916,0.028279459,0.018145754,0.02381284,0.016205728,0.018119847,0.029462806,0.010079353,0.018744232,0.01126698,0.013880831,0.02713965,0.031421754,0.040818777,0.051286771,0.047939689,0.073441551
cloudlet-2,0.012508302,0.029593227,0,0.025320269,0.016408366,0.010030146,0.013143531,0.02091272,0.019486748,0.019052064,0.013146584,0.025442634,0.021445386,0.015024528,0.024157722,0.023861169,0.025832515,0.011550285,0.012657313,0.018788585,0.028189968,0.018416787,0.021055762,0.011304023,0.019466219,0.01617556,0.019278176,0.024349736,0.018900774,0.013630816,0.017588412,0.010326195,0.014742492,0.025356328,0.01740043,0.021395694,0.020838855,0.024430153,0.010847757,0.016659679,0.020263991,0.021497821,0.012515895,0.01629094,0.016137229,0.025060052,0.024588506,0.014520265,0.023687921,0.026234485,0.022479307,0.023226272,0.012729743,0.010602056,0.020664843,0.020551505,0.011315943,0.018090674,0.019001573,0.021849361,0.026813855,0.029224641,0.024084601,0.026997311,0.023677565,0.023908107,0.027315304,0.016015535,0.023431558,0.018068459,0.018692557,0.026183794,0.016125951,0.011035563,0.029772561,0.020405541,0.024854527,0.011317419,0.014465595,0.028826761,0.022953611,0.025358551,0.026601855,0.014946722,0.010928494,0.016952415,0.013209361,0.021968604,0.029078651,0.029149297,0.023541851,0.020202835,0.025743121,0.012137906,0.016463856,0.027862271,0.029325144,0.026815273,0.020958198,0.029540523,0.015321929,0.010527667,0.017029179,0.022235473,0.016098801,0.020292709,0.01171223,0.015312356,0.015847458,0.051114337,0.048411614,0.034206821,0.057786717,0.080167602
cloudlet-3,0.016027657,0.019749399,0.025320269,0,0.024560035,0.024949989,0.027476163,0.012161571,0.015440172,0.022378733,0.022653902,0.023579765,0.0212586,0.016639755,0.029749361,0.02655179,0.023424847,0.027217857,0.024804875,0.016762133,0.025689677,0.026859572,0.013293527,0.022826383,0.019307074,0.017202712,0.010721293,0.027936847,0.020201888,0.018403822,0.010206484,0.025444354,0.018168711,0.021178623,0.0289327,0.019070758,0.010508586,0.017787826,0.026472725,0.029318892,0.026049649,0.027982224,0.027580148,0.01360726,0.017802404,0.014178239,0.011680519,0.023729361,0.026518775,0.0119721,0.01452341,0.01233078,0.028868576,0.029636186,0.011658243,0.017051278,0.019965426,0.021579609,0.017812722,0.020362813,0.019071683,0.01740984,0.026287764,0.020791785,0.02052322,0.011296366,0.010250697,0.014561268,0.01522548,0.021405933,0.028928619,0.01776206,0.026091116,0.020020979,0.028348448,0.011411547,0.011670162,0.025932835,0.026461271,0.010601201,0.023836734,0.027951551,0.015644256,0.026040998,0.012750805,0.019716287,0.014305596,0.017663219,0.026229297,0.029607182,0.027478375,0.027633154,0.02768981,0.011417638,0.013267081,0.02786497,0.020429149,0.011466249,0.023278725,0.019639516,0.028949893,0.024808483,0.029083011,0.018843086,0.026132454,0.028496595,0.017584361,0.029159513,0.02196768,0.051291222,0.0545888,0.05967026,0.038439644,0.08084688
cloudlet-4,0.029359782,0.029191814,0.016408366,0.024560035,0,0.02086444,0.017654271,0.021648538,0.021497942,0.017161005,0.026382235,0.023187969,0.016060565,0.016518845,0.028741592,0.016080967,0.026550805,0.022957772,0.028451915,0.019610705,0.026099329,0.010799694,0.021557438,0.022577237,0.013933834,0.011594897,0.022632858,0.019267723,0.029855667,0.015722537,0.023831813,0.014978542,0.025897975,0.011074191,0.018947552,0.013196629,0.022574612,0.02388219,0.029386673,0.021105284,0.029770025,0.015032406,0.011267681,0.024882755,0.014172826,0.010749098,0.010119018,0.029746909,0.014260805,0.022222933,0.026494425,0.018203713,0.013429997,0.020455531,0.02280306,0.012640393,0.020884203,0.019762556,0.0201733,0.025919957,0.014852792,0.018321336,0.027659776,0.010551653,0.02064862,0.020085493,0.027433425,0.027989829,0.028952117,0.020240329,0.014749833,0.019318592,0.029870053,0.020312854,0.029494779,0.015360875,0.025342618,0.010802559,0.015189486,0.027560406,0.021198525,0.021081808,0.021364283,0.012551554,0.029983789,0.013039632,0.016343552,0.012080293,0.011121656,0.024160244,0.015117136,0.020663906,0.027409612,0.027325058,0.022890096,0.019162794,0.01768601,0.02877453,0.014708913,0.020833192,0.020313456,0.029614188,0.028352836,0.019367607,0.026333304,0.029875083,0.021961443,0.025900069,0.026741906,0.032035368,0.043294203,0.055957418,0.048963002,0.062897845
cloudlet-5,0.01670742,0.016020974,0.010030146,0.024949989,0.02086444,0,0.021831326,0.023848331,0.021409866,0.027517731,0.027757151,0.021291817,0.02957857,0.010780662,0.016767619,0.016421194,0.020328395,0.01276105,0.024114183,0.029704029,0.020053482,0.018649649,0.011799018,0.018357667,0.013914157,0.012520314,0.016900686,0.014056589,0.023010667,0.012148872,0.013316687,0.02537745,0.018708919,0.011041211,0.017511113,0.012320184,0.013402314,0.013407577,0.027814239,0.017048156,0.025400519,0.018570321,0.015345845,0.015073001,0.022289204,0.026522612,0.010268548,0.028781256,0.012286884,0.02289153,0.024230152,0.029312189,0.026601163,0.018071724,0.020345543,0.023539209,0.02422608,0.029724338,0.011928733,0.012355331,0.016270495,0.013558426,0.013699762,0.012872819,0.017507969,0.028068262,0.024197547,0.02300287,0.012804923,0.022462578,0.017566331,0.010693298,0.018921139,0.027618811,0.01258445,0.021952992,0.014153953,0.019381678,0.014547428,0.012632954,0.02336916,0.01130459,0.025420844,0.023632581,0.021939576,0.015628926,0.020347109,0.023336968,0.018087678,0.026176937,0.028513212,0.011506552,0.018144007,0.02398055,0.024583568,0.02793129,0.012203566,0.019698256,0.010320983,0.012928112,0.028548508,0.018411614,0.023081647,0.02660335,0.027434266,0.015297644,0.020270709,0.022069286,0.028973508,0.054307108,0.052075489,0.04655171,0.032016145,0.060401708
cloudlet-6,0.023239804,0.01120295,0.013143531,0.027476163,0.017654271,0.021831326,0,0.018180782,0.025744965,0.025607564,0.021586414,0.010642762,0.026184742,0.023968163,0.013773803,0.017385183,0.018836858,0.027841267,0.010204883,0.025431898,0.026513799,0.019247335,0.023417917,0.01119729,0.023520613,0.026464096,0.01223475,0.024890706,0.021802812,0.019048008,0.02534603,0.024225259,0.024939108,0.025613652,0.019329491,0.025419784,0.025794963,0.029761303,0.012220102,0.013855511,0.027714642,0.018885082,0.022658878,0.026910046,0.02980365,0.019287569,0.0106494,0.026024091,0.017249854,0.019192906,0.017885056,0.024350861,0.021514257,0.017809666,0.015584286,0.016262936,0.016306478,0.020562934,0.014837992,0.02431528,0.01775889,0.01115089,0.024549921,0.010827531,0.017635046,0.01628256,0.0240919,0.016888682,0.018602692,0.023404752,0.02621463,0.020804408,0.022057745,0.022795077,0.029095676,0.020390629,0.028377508,0.016281947,0.022266365,0.024915585,0.025465529,0.016376172,0.017360232,0.0249372,0.012712969,0.010760644,0.016635437,0.023657204,0.01205407,0.014353716,0.016828898,0.020877674,0.013521536,0.026524961,0.021127323,0.017806337,0.019166367,0.018800142,0.023328795,0.018790055,0.010667765,0.020707976,0.010890904,0.01757824,0.01570773,0.022615258,0.011296254,0.018409627,0.024067881,0.053767961,0.038656472,0.040655041,0.038969597,0.060151719
cloudlet-7,0.011918324,0.012370797,0.02091272,0.012161571,0.021648538,0.023848331,0.018180782,0,0.010062894,0.012145334,0.024965559,0.010614627,0.020447898,0.015766694,0.027926091,0.013725648,0.027370031,0.023439369,0.014431877,0.018772745,0.021750337,0.027736599,0.022131625,0.027129099,0.023282447,0.014282588,0.029595855,0.015266891,0.025783996,0.022963243,0.012098548,0.028637012,0.01115766,0.013658061,0.011727832,0.015815671,0.015269522,0.027715166,0.012231808,0.027666168,0.023543557,0.013299335,0.018698557,0.015543266,0.020801529,0.01079211,0.028291923,0.012478856,0.026307627,0.027304579,0.022168856,0.021219998,0.022268401,0.029644911,0.020247658,0.02257711,0.023225423,0.020380711,0.02358994,0.015955311,0.023190152,0.029538177,0.01356265,0.012947681,0.011303876,0.026215555,0.026316669,0.015612501,0.015445425,0.027251976,0.02730532,0.024615648,0.023800925,0.028614971,0.024159781,0.014101485,0.013681221,0.02103965,0.023366212,0.027542999,0.024705867,0.022188627,0.011562707,0.013569435,0.017826161,0.013975201,0.028485107,0.024150882,0.024740028,0.015897637,0.02165915,0.019724189,0.017934944,0.017810191,0.02410692,0.029025782,0.024099673,0.02106464,0.010124109,0.016466985,0.027453257,0.018392051,0.022675433,0.027065386,0.020567655,0.024867039,0.019348449,0.022054311,0.018283648,0.059144624,0.05461527,0.048669823,0.056508428,0.075393216
cloudlet-8,0.018143236,0.017467353,0.019486748,0.015440172,0.021497942,0.021409866,0.025744965,0.010062894,0,0.026605663,0.028420146,0.028172964,0.012136166,0.022740677,0.012413693,0.018134193,0.011992968,0.012205578,0.018313163,0.024071568,0.028994788,0.022042287,0.022451145,0.028565881,0.01277067,0.024529555,0.029369392,0.025094278,0.024495802,0.017288273,0.026954544,0.025291697,0.025684165,0.026229617,0.023031388,0.025837412,0.011855699,0.024237491,0.014487268,0.01036872,0.018683653,0.027844304,0.02158661,0.020786527,0.014868562,0.015447534,0.026796372,0.015814415,0.022141938,0.029794916,0.012071654,0.024490122,0.013870297,0.0275895,0.022150851,0.020827601,0.026773222,0.01831046,0.015524077,0.012416759,0.013319582,0.022813168,0.010118409,0.026183121,0.024968877,0.02753556,0.012270985,0.015267721,0.011435999,0.02153711,0.015421151,0.016187698,0.017790599,0.025286759,0.012055114,0.028273466,0.029324298,0.022862683,0.02808711,0.014938242,0.019799042,0.010954153,0.028684157,0.028297279,0.010994497,0.023143146,0.026651802,0.019704174,0.010513492,0.015272102,0.011922519,0.024778759,0.011035391,0.027454214,0.020037355,0.019437251,0.02897023,0.027479861,0.013901593,0.025048082,0.017789138,0.017185278,0.021320937,0.010070783,0.010949082,0.01013544,0.012779933,0.029704306,0.01108188,0.054463834,0.037979928,0.032466944,0.033184514,0.074863061
cloudlet-9,0.028714378,0.012830477,0.019052064,0.022378733,0.017161005,0.027517731,0.025607564,0.012145334,0.026605663,0,0.014078206,0.028693553,0.016192764,0.021821221,0.01110289,0.01438072,0.012962421,0.024996753,0.027206454,0.021144283,0.027818173,0.01104863,0.029195756,0.013829515,0.028719922,0.023094484,0.028542533,0.01857341,0.021049029,0.013715673,0.020363991,0.01086911,0.028797366,0.011200853,0.020694903,0.022278282,0.015956895,0.02229824,0.022013653,0.023458662,0.020964204,0.018040847,0.021904384,0.026853078,0.024688616,0.012895812,0.023590512,0.021369573,0.029999857,0.013147918,0.021750235,0.024689614,0.015813671,0.029366495,0.02151117,0.029143217,0.028434686,0.024662119,0.023203833,0.026753549,0.02225245,0.026854979,0.012660909,0.011940993,0.028591648,0.029714203,0.017649906,0.01739041,0.026571259,0.017746505,0.018276578,0.026966071,0.02651925,0.022790174,0.026835348,0.015931763,0.01184998,0.010273485,0.021181517,0.025905972,0.012494525,0.026402706,0.014256688,0.019489261,0.024928204,0.02551539,0.016386626,0.027903967,0.028230063,0.017835527,0.022634236,0.023918308,0.010990169,0.011741686,0.012392253,0.012290161,0.017116676,0.025049371,0.018218831,0.01787863,0.013533081,0.015327208,0.012494572,0.010065127,0.020147935,0.013418425,0.02111095,0.012591164,0.021152294,0.039287293,0.05103465,0.039896612,0.043130463,0.078269029
